"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что фильтр по несуществующему image_id возвращает пустой список.","142","Filter favourites by non-existent image_id returns empty list","","Tue Sep 15 20:24:26 UTC 2026","passed","Tue Sep 15 20:24:26 UTC 2026","TestParameters","homework","",""
"Добавляет favourite и проверяет, что он появился в системе.","723","Add favourite and verify it appears in the system","","Tue Sep 15 20:24:17 UTC 2026","passed","Tue Sep 15 20:24:18 UTC 2026","TestFavouritesCRUD","favourites_crud","",""
"Проверяет, что при изменении регистра хедера x-api-key не возникает ошибки.","483","API key header is case-insensitive","","Tue Sep 15 20:24:17 UTC 2026","passed","Tue Sep 15 20:24:17 UTC 2026","TestAuthentication","authentication","",""
"Проверяет, что неправильный тип sub_id приводит к ошибке.","544","Invalid sub_id type returns error","","Tue Sep 15 20:24:24 UTC 2026","passed","Tue Sep 15 20:24:25 UTC 2026","TestParameters","homework","",""
"Скачивает картинку кота и проверяет, что файл — валидный JPEG.","1067","Downloaded image is a valid JPEG","","Tue Sep 15 20:24:18 UTC 2026","failed","Tue Sep 15 20:24:19 UTC 2026","TestHeaders","headers","",""
"Проверяет, что неправильный тип sub_id приводит к ошибке.","322","Invalid sub_id type returns error","","Tue Sep 15 20:24:25 UTC 2026","passed","Tue Sep 15 20:24:25 UTC 2026","TestParameters","homework","",""
"Проверяет, что фильтр по limit=50 возвращает не более 50 записей, и что сортировка order=DESC возвращает favourites в порядке убывания created_at.","4793","Get favourites with limit=50 and order=DESC","","Tue Sep 15 20:24:19 UTC 2026","passed","Tue Sep 15 20:24:24 UTC 2026","TestParameters","homework","",""
"Проверяет, что при неправильном Content-Type при добавлении favourite возникает ошибка.","343","Wrong Content-Type on POST /favourites returns error","","Tue Sep 15 20:24:18 UTC 2026","passed","Tue Sep 15 20:24:18 UTC 2026","TestHeaders","headers","",""
"Проверяет, что неправильный тип sub_id приводит к ошибке.","351","Invalid sub_id type returns error","","Tue Sep 15 20:24:25 UTC 2026","passed","Tue Sep 15 20:24:26 UTC 2026","TestParameters","homework","",""
"Проверяет, что методы во вкладке Basics: Favouring не работают без аутентификации.","467","Endpoints without authentication return 401","","Tue Sep 15 20:24:16 UTC 2026","passed","Tue Sep 15 20:24:17 UTC 2026","TestAuthentication","authentication","",""
"Проверяет, что при добавлении картинок с одинаковым image_id возникает ошибка.","686","Adding duplicate image_id returns error","","Tue Sep 15 20:24:26 UTC 2026","passed","Tue Sep 15 20:24:27 UTC 2026","TestParameters","homework","",""
"Проверяет, что неправильный тип sub_id приводит к ошибке.","322","Invalid sub_id type returns error","","Tue Sep 15 20:24:25 UTC 2026","passed","Tue Sep 15 20:24:25 UTC 2026","TestParameters","homework","",""
